ScripCode,Symbol,Nse Exclusive,Status,Series,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under BZ/SZ Series,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Scrip PE is greater than 50 (4 trailing quarters),EPS in the scrip is zero (4 trailing quarters),Less than 100 unique PAN traded in previous 30 days,Mandatory Market making period in SME scrip is over,SME scrip is not regularly traded,Close to Close price movement greater than 25perc in previous 5 trading days,Close to Close price movement greater than 40perc in previous 15 trading days,Close to Close price movement greater than 100perc in previous 60 trading Days,Close to Close price movement greater than 25perc in previous 15 Days,Close to Close price movement greater than 50perc in previous 1 month,Close to Close price movement greater than 90perc in previous 3 months,Close to Close price movement greater than 25perc in previous 1 month,Close to Close price movement greater than 50perc in previous 3 months,Close to Close price movement greater than 200perc in previous 365 Days,Close to Close price movement greater than 75perc in previous 6 months,Close to Close price movement greater than 100perc in previous 365 days,High low price variation greater than 75perc in previous 1 month,High low price variation greater than 150perc in previous 3 months,High low price variation greater than 75perc in previous 3 months,High low price variation greater than 300perc in previous 365 Days,High low price variation greater than 100perc in previous 6 months,High low price variation greater than 200perc in previous 365 Days,High low price variation greater than 150perc in previous 12 months,Filler17,Filler18,Filler19,Filler20,Filler21,Filler22,Filler23,Filler24,Filler25,Filler26,Filler27,Filler28,Filler29,Filler30,Filler31
NA,AARVI,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,AATMAJ,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,,,,,,,,,,,,,,,
NA,AAVAS,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABAN,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,0,100,100,100,,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABB,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABBOTINDIA,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABCAPITAL,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABCOTS,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABDL,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABFRL,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,0,100,100,100,,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABHAPOWER,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,100,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABINFRA,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABMINTLLTD,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,,,,,,,,,,,,,,,
NA,ABREL,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABSLAMC,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ABSMARINE,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACC,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACCELYA,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACCENTMIC,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACCORD,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,,,,,,,,,,,,,,,
NA,ACCURACY,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACE,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACEINTEG,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACI,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACL,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACLGATI,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,,,,,,,,,,,,,,,
NA,ACMESOLAR,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ACTIVEINFR,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ADANIENSOL,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ADANIENT,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
NA,ADANIGREEN,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,,,,,,,,,,,,,,,
NA,ADANIPORTS,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,
